Data da Venda,ID da Venda,ID do Cliente,Nome do Cliente,Produto,ID do Produto,Categoria,Preço Unitário,Quantidade,Valor Total,Meio de Pagamento,Vendedor,Região,Status da Venda
15/04/2024,0118,634,Fernando Dias,Teclado RGB,2005,Acessórios,300.0,5,1500.0,Transferência,Thiago da Mota,Sudeste,Cancelada
02/05/2024,0119,945,Vinicius Teixeira,Teclado RGB,2005,Acessórios,300.0,3,900.0,Dinheiro,Srta. Caroline da Rosa,Norte,Cancelada
13/10/2024,0120,561,Emilly Souza,Smartwatch DEF,2004,Eletrônicos,800.0,4,3200.0,Transferência,Esther Castro,Centro-Oeste,Concluída
19/11/2024,0121,606,Gustavo Dias,Fone Bluetooth,2006,Acessórios,250.0,2,500.0,Transferência,Sr. Heitor Alves,Nordeste,Cancelada
01/10/2024,0122,916,Ana Freitas,Teclado RGB,2005,Acessórios,300.0,3,900.0,Pix,Benjamin Vieira,Sul,Pendente
23/04/2024,0123,382,Srta. Maysa Rodrigues,Smartphone XYZ,2001,Eletrônicos,1200.0,5,6000.0,Dinheiro,André Gomes,Norte,Concluída
01/07/2024,0124,837,Laura Mendes,Monitor HD,2007,Eletrônicos,1000.0,4,4000.0,Dinheiro,Benjamin Fernandes,Sudeste,Pendente
04/07/2024,0125,828,Bernardo Nunes,Impressora Laser,2008,Eletrônicos,2000.0,4,8000.0,Cartão,Ana Julia Barros,Norte,Cancelada
28/02/2024,0126,326,Miguel Jesus,Monitor HD,2007,Eletrônicos,1000.0,2,2000.0,Pix,Felipe Costa,Sul,Cancelada
04/08/2024,0127,584,Maria das Neves,Fone Bluetooth,2006,Acessórios,250.0,4,1000.0,Pix,Isis Porto,Centro-Oeste,Pendente
20/06/2024,0128,564,Nicolas Pereira,Teclado RGB,2005,Acessórios,300.0,3,900.0,Pix,Miguel Caldeira,Nordeste,Concluída
24/08/2024,0129,838,Srta. Sophie da Rocha,Smartwatch DEF,2004,Eletrônicos,800.0,3,2400.0,Cartão,Clara Ferreira,Sul,Pendente
13/09/2024,0130,289,Davi Lucca Duarte,Smartwatch DEF,2004,Eletrônicos,800.0,2,1600.0,Transferência,Marcos Vinicius Cardoso,Centro-Oeste,Pendente
01/03/2024,0131,703,Juan Porto,Teclado RGB,2005,Acessórios,300.0,1,300.0,Dinheiro,Dra. Lorena Gonçalves,Centro-Oeste,Concluída
13/01/2024,0132,469,Gustavo Henrique Gomes,Mouse Wireless,2003,Acessórios,150.0,3,450.0,Cartão,Sra. Ana Julia Dias,Sul,Concluída
12/04/2024,0133,380,Maria Sophia da Paz,Smartphone XYZ,2001,Eletrônicos,1200.0,1,1200.0,Pix,Ana Sophia Viana,Nordeste,Pendente
28/03/2024,0134,989,Brenda Fogaça,Impressora Laser,2008,Eletrônicos,2000.0,1,2000.0,Cartão,Breno Caldeira,Sul,Cancelada
05/03/2024,0135,580,Noah Gomes,Impressora Laser,2008,Eletrônicos,2000.0,4,8000.0,Pix,Ana Vitória Rezende,Nordeste,Concluída
24/09/2024,0136,358,Samuel Nunes,Impressora Laser,2008,Eletrônicos,2000.0,1,2000.0,Cartão,Luiz Fernando Viana,Sudeste,Cancelada
10/07/2024,0137,175,Ana Júlia Barbosa,Smartphone XYZ,2001,Eletrônicos,1200.0,2,2400.0,Dinheiro,Sarah Martins,Sul,Cancelada
22/08/2024,0138,187,Antônio Carvalho,Smartwatch DEF,2004,Eletrônicos,800.0,1,800.0,Transferência,Renan Aragão,Sul,Pendente
24/10/2024,0139,909,Emanuelly Barbosa,Smartwatch DEF,2004,Eletrônicos,800.0,5,4000.0,Transferência,Lucas Silveira,Sudeste,Cancelada
10/09/2024,0140,404,Emilly da Mata,Monitor HD,2007,Eletrônicos,1000.0,3,3000.0,Cartão,Larissa Rodrigues,Sul,Pendente
05/02/2024,0141,201,Isabel Oliveira,Smartwatch DEF,2004,Eletrônicos,800.0,2,1600.0,Pix,Dr. Raul Cavalcanti,Norte,Concluída
03/03/2024,0142,345,Dr. Ryan Sales,Mouse Wireless,2003,Acessórios,150.0,5,750.0,Cartão,Rafael Nunes,Nordeste,Concluída
11/11/2024,0143,518,Alícia Ramos,Impressora Laser,2008,Eletrônicos,2000.0,5,10000.0,Transferência,Ian Fernandes,Centro-Oeste,Concluída
05/05/2024,0144,337,Vitor Nunes,Teclado RGB,2005,Acessórios,300.0,3,900.0,Transferência,Agatha Viana,Norte,Pendente
28/06/2024,0145,339,Ana Beatriz da Mota,Teclado RGB,2005,Acessórios,300.0,5,1500.0,Dinheiro,Isabelly Sales,Sudeste,Concluída
30/08/2024,0146,657,Sophie Barros,Smartwatch DEF,2004,Eletrônicos,800.0,2,1600.0,Pix,Gabriel Vieira,Nordeste,Concluída
20/02/2024,0147,161,Leonardo Rodrigues,Mouse Wireless,2003,Acessórios,150.0,3,450.0,Pix,Antônio Duarte,Sudeste,Concluída
02/10/2024,0148,579,Henrique Vieira,Teclado RGB,2005,Acessórios,300.0,4,1200.0,Pix,Marcos Vinicius Oliveira,Sul,Pendente
06/02/2024,0149,605,Carlos Eduardo Rezende,Impressora Laser,2008,Eletrônicos,2000.0,1,2000.0,Cartão,Pedro da Costa,Sudeste,Pendente
12/07/2024,0150,430,Sra. Maitê Fogaça,Teclado RGB,2005,Acessórios,300.0,1,300.0,Cartão,Luana Ribeiro,Nordeste,Pendente
04/04/2024,0151,956,Maria Clara da Conceição,Smartphone XYZ,2001,Eletrônicos,1200.0,3,3600.0,Cartão,Caroline Silva,Nordeste,Cancelada
16/10/2024,0152,631,Bernardo Freitas,Impressora Laser,2008,Eletrônicos,2000.0,3,6000.0,Dinheiro,Heloísa Santos,Sul,Cancelada
13/04/2024,0153,750,Gustavo Henrique Jesus,Impressora Laser,2008,Eletrônicos,2000.0,1,2000.0,Transferência,Maria Luiza Rodrigues,Centro-Oeste,Cancelada
27/02/2024,0154,441,Maria Alice Rocha,Fone Bluetooth,2006,Acessórios,250.0,1,250.0,Dinheiro,Dr. Marcos Vinicius Viana,Centro-Oeste,Cancelada
26/05/2024,0155,810,Giovanna da Mota,Impressora Laser,2008,Eletrônicos,2000.0,3,6000.0,Transferência,Srta. Maria Julia Nogueira,Sul,Concluída
31/03/2024,0156,565,Amanda Lopes,Laptop ABC,2002,Eletrônicos,3500.0,3,10500.0,Pix,Sra. Rafaela Nascimento,Centro-Oeste,Concluída
29/05/2024,0157,891,Vitória da Costa,Monitor HD,2007,Eletrônicos,1000.0,5,5000.0,Cartão,Alícia Costela,Sul,Cancelada
14/07/2024,0158,523,Helena Castro,Smartphone XYZ,2001,Eletrônicos,1200.0,2,2400.0,Pix,Ana Luiza Souza,Sul,Cancelada
26/06/2024,0159,740,Thiago da Conceição,Impressora Laser,2008,Eletrônicos,2000.0,1,2000.0,Dinheiro,Milena da Costa,Centro-Oeste,Pendente
30/01/2024,0160,234,Valentina Ferreira,Teclado RGB,2005,Acessórios,300.0,4,1200.0,Transferência,Dr. Pietro Cardoso,Norte,Concluída
07/05/2024,0161,745,Maria Alice Nascimento,Smartwatch DEF,2004,Eletrônicos,800.0,2,1600.0,Pix,Dr. Marcelo Azevedo,Sul,Concluída
27/08/2024,0162,665,Erick Gomes,Monitor HD,2007,Eletrônicos,1000.0,1,1000.0,Dinheiro,Vinicius Carvalho,Norte,Cancelada
17/06/2024,0163,220,Vitor Hugo Castro,Mouse Wireless,2003,Acessórios,150.0,4,600.0,Pix,Bárbara Jesus,Sul,Pendente
12/01/2024,0164,379,Igor Caldeira,Monitor HD,2007,Eletrônicos,1000.0,4,4000.0,Transferência,João Gabriel Moura,Nordeste,Cancelada
16/06/2024,0165,664,Felipe Souza,Mouse Wireless,2003,Acessórios,150.0,4,600.0,Dinheiro,Maria Fernanda da Mata,Sul,Pendente
07/03/2024,0166,864,Bruno Nascimento,Mouse Wireless,2003,Acessórios,150.0,1,150.0,Pix,Nina Duarte,Sudeste,Cancelada
12/07/2024,0167,906,Bianca Dias,Teclado RGB,2005,Acessórios,300.0,1,300.0,Pix,Maysa Fernandes,Centro-Oeste,Pendente
27/06/2024,0168,693,Raul Alves,Impressora Laser,2008,Eletrônicos,2000.0,2,4000.0,Transferência,Esther Viana,Sul,Cancelada
02/03/2024,0169,453,Leonardo Monteiro,Fone Bluetooth,2006,Acessórios,250.0,5,1250.0,Transferência,Fernanda Pereira,Sudeste,Cancelada
25/09/2024,0170,990,Lorenzo Jesus,Smartwatch DEF,2004,Eletrônicos,800.0,2,1600.0,Transferência,João Pedro Rocha,Nordeste,Cancelada
11/02/2024,0171,144,João Miguel Moraes,Fone Bluetooth,2006,Acessórios,250.0,4,1000.0,Transferência,Evelyn Gonçalves,Sudeste,Pendente
09/01/2024,0172,911,Julia Freitas,Mouse Wireless,2003,Acessórios,150.0,4,600.0,Cartão,Miguel Barros,Nordeste,Pendente
23/08/2024,0173,704,Sra. Esther Dias,Fone Bluetooth,2006,Acessórios,250.0,1,250.0,Transferência,Yasmin Moraes,Norte,Pendente
